#burst	Time	Periodo Hlp(ms)	Periodo Hpd(ms)	Intervalo HlpFSlp(ms)	Intervalo HlpLSlp(ms)	Intervalo HpdFSpd(ms)	Intervalo HpdLSpd(ms)	Intervalo FSlpHlp(ms)	Intervalo LSlpHlp(ms)	Intervalo FSpdHpd(ms)	Intervalo LSpdHpd(ms)	Intervalo HlpHpd(ms)	Intervalo HpdHlp(ms)	Intervalo FSlpHpd(ms)	Intervalo LSlpHpd(ms)	Intervalo FSpdHlp(ms)	Intervalo LSpdHlp(ms)	Intervalo HlpFSpd(ms)	Intervalo HlpLSpd(ms)	Intervalo HpdFSlp(ms)	Intervalo HpdLSlp(ms)	t1LP	fst2fstLP	LPPD1spkperiod
42	625887.7000000001	1042.0	1043.9	157.10000000000002	331.20000000000005	759.5	879.5	884.9000000000001	710.8000000000001	259.90000000000003	143.20000000000002	165.10000000000002	876.9000000000001	1051.9	877.8000000000001	1136.8	1020.1	924.6	1044.6000000000001	1004.7	1164.0	626043.6093	1012.800015	767.400011
43	626929.7000000001	986.1	995.0	127.80000000000001	287.1	685.4000000000001	805.5	858.3000000000001	699.0	284.40000000000003	164.4	167.0	819.1	1034.2	874.9000000000001	1103.5	983.5	852.4000000000001	972.5	926.2	1122.4	627056.4093	965.400014	724.500011
44	627915.8	752.7	722.0	107.10000000000001	303.3	467.1	581.3000000000001	645.6	449.40000000000003	309.6	189.5	175.9	576.8000000000001	790.8000000000001	594.6	886.4000000000001	766.3000000000001	643.0	757.2	686.2	886.9000000000001	628021.8094	755.000012	535.800008
45	628668.5	732.2	767.9000000000001	109.4	310.1	469.1	590.5	622.8000000000001	422.1	254.9	140.70000000000002	145.20000000000002	587.0	803.7	603.0	841.9000000000001	727.7	614.3000000000001	735.7	694.5	879.1	628776.8094	730.40001	504.700007
46	629400.7000000001	1014.9000000000001	1020.6	107.5	292.1	724.6	843.6	907.4000000000001	722.8000000000001	298.8	177.4	180.9	834.0	1094.0	909.4000000000001	1132.8	1011.4000000000001	905.5	1024.5	972.5	1139.5	629507.2094	1045.800016	797.800012
47	630415.6000000001	1092.8	1058.2	138.5	305.5	790.9000000000001	911.8000000000001	954.3000000000001	787.3000000000001	296.0	177.0	186.60000000000002	906.2	1106.3	939.3000000000001	1202.2	1083.2	977.5	1098.4	1049.6000000000001	1211.5	630553.0094	1097.700016	838.800012
48	631508.4	1059.8	1094.1000000000001	143.4	305.3	790.8000000000001	911.2	916.4000000000001	754.5	267.3	146.4	152.0	907.8000000000001	1102.7	940.8000000000001	1175.1000000000001	1054.2	942.8000000000001	1063.2	1046.7	1203.0	631650.7094	1055.400016	799.200012
49	632568.2000000001	1106.6000000000001	1118.8	138.9	295.2	809.2	928.7	967.7	811.4000000000001	303.3	182.9	186.3	920.3000000000001	1166.2	1009.9000000000001	1223.6000000000001	1103.2	995.5	1115.0	1066.1000000000001	1238.3000000000002	632706.1094	1113.400017	856.400013
50	633674.8	1001.2	1035.4	145.8	318.0	684.8000000000001	814.0	855.4000000000001	683.2	309.6	190.10000000000002	198.5	802.7	1088.1000000000001	915.9000000000001	1112.3	992.8000000000001	883.3000000000001	1012.5	946.7	1112.5	633819.5094	999.400015	737.300011
51	634676.0	999.1	988.8000000000001	144.0	309.8	658.1	775.8000000000001	855.1	689.3000000000001	350.6	221.4	232.70000000000002	766.4000000000001	1077.5	911.7	1117.0	987.8000000000001	890.8000000000001	1008.5	876.1	1043.4	634818.9095	964.900014	746.600011
52	635675.1000000001	758.1	728.4000000000001	109.7	277.0	429.40000000000003	547.6	648.4000000000001	481.1	330.70000000000005	213.0	222.4	535.7	841.1	673.8000000000001	866.4000000000001	748.7	651.8000000000001	770.0	660.7	833.8000000000001	635783.8095	773.300011	541.900008
53	636433.2000000001	874.0	878.7	125.0	298.1	569.3000000000001	689.5	749.0	575.9	299.0	180.8	192.70000000000002	681.3000000000001	946.4000000000001	773.3000000000001	980.3000000000001	862.1	762.0	882.2	812.5	1001.7	636557.1095	880.200014	636.80001
54	637307.2000000001	906.6	870.5	131.20000000000002	320.40000000000003	596.4	717.5	775.4000000000001	586.2	309.40000000000003	189.20000000000002	197.4	709.2	936.7	747.5	1018.6	898.4000000000001	793.8000000000001	914.9000000000001	828.8000000000001	1019.0	637437.3095	895.000013	662.500009
55	638213.8	933.2	963.6	119.60000000000001	309.8	659.6	779.6	813.6	623.4000000000001	274.1	153.0	161.3	771.9000000000001	1005.3000000000001	815.1	1046.0	924.9000000000001	820.9000000000001	940.9000000000001	896.9000000000001	1065.3	638332.3095	938.600014	701.10001
56	639147.0	871.8000000000001	835.3000000000001	125.0	293.40000000000003	571.2	688.9000000000001	746.8000000000001	578.4	304.0	184.0	191.70000000000002	680.1	902.0	733.6	984.1	864.1	762.9000000000001	880.6	798.1	993.4000000000001	639270.9095	865.000013	637.800009
57	640018.8	767.9000000000001	762.5	118.0	313.3	499.70000000000005	617.6	649.9000000000001	454.6	264.1	146.4	155.20000000000002	612.7	799.7	604.4	876.8000000000001	759.1	654.9000000000001	772.8000000000001	710.7	889.8000000000001	640135.9095	747.700011	536.600008
58	640786.7000000001	747.0	816.1	98.0	277.1	498.0	611.4	649.0	469.90000000000003	262.8	144.9	149.8	597.2	867.9000000000001	688.8000000000001	860.0	742.1	647.8000000000001	761.2	707.0	885.8000000000001	640883.6096	758.900011	549.600008
59	641533.7000000001	731.3000000000001	666.3000000000001	109.80000000000001	288.6	404.5	524.6	621.5	442.70000000000005	318.1	204.70000000000002	218.9	512.4	775.4000000000001	596.6	830.5	717.1	623.4000000000001	743.5	630.1	797.4000000000001	641642.5096	739.000011	513.400008
60	642265.0	968.2	995.8000000000001	117.7	285.0	704.2	825.3000000000001	850.5	683.2	261.8	141.70000000000002	153.9	814.3000000000001	1032.0	864.7	1076.1000000000001	956.0	858.1	979.2	954.0	1099.3	642381.5096	990.300015	740.300011
61	643233.2000000001	1033.3	1041.4	139.70000000000002	285.0	731.0	859.7	893.6	748.3000000000001	291.6	170.5	181.5	851.8000000000001	1083.2	937.9000000000001	1143.4	1022.3000000000001	912.5	1041.2	991.7	1166.3	643371.8096	1033.500015	772.700012
62	644266.5	1022.1	1010.9000000000001	139.9	314.5	743.8000000000001	861.7	882.2	707.6	310.40000000000003	181.70000000000002	189.60000000000002	832.5	1060.6000000000001	886.0	1142.9	1014.2	933.4000000000001	1051.3	1003.2	1162.6000000000001	644405.3096	1052.900016	793.300012
63	645288.6000000001	999.6	1008.4000000000001	170.70000000000002	330.1	705.5	830.5	828.9000000000001	669.5	267.1	149.20000000000002	178.4	821.2	1016.1	856.7	1088.3	970.4000000000001	883.9000000000001	1008.9000000000001	959.9000000000001	1130.8	645458.2096	967.500014	713.100011
64	646288.2000000001	944.9000000000001	966.2	138.70000000000002	309.6	642.7	766.7	806.2	635.3000000000001	302.90000000000003	177.9	187.20000000000002	757.7	1014.7	843.8000000000001	1060.6000000000001	935.6	829.9000000000001	953.9000000000001	889.4000000000001	1044.1000000000001	646425.7096	938.100014	691.000011
65	647233.1000000001	912.4000000000001	878.4000000000001	131.70000000000002	286.40000000000003	589.0	707.9000000000001	780.7	626.0	323.5	199.5	208.5	703.9000000000001	955.2	800.5	1027.4	903.4000000000001	797.5	916.4000000000001	816.3000000000001	994.7	647363.8096	892.900014	665.60001
66	648145.5	734.0	759.1	112.4	290.8	456.20000000000005	567.9	621.6	443.20000000000005	289.40000000000003	170.5	174.5	559.5	821.2	642.8000000000001	848.9000000000001	730.0	630.7	742.4000000000001	665.8000000000001	857.8000000000001	648256.7097	727.900011	518.300008
67	648879.5	865.7	840.1	106.30000000000001	298.3	551.6	672.8000000000001	759.4000000000001	567.4	302.90000000000003	191.20000000000002	199.60000000000002	666.1	933.4000000000001	741.4000000000001	969.0	857.3000000000001	751.2	872.4000000000001	801.7	951.7	648984.6097	895.100013	644.800009
68	649745.2000000001	1045.7	1058.6000000000001	135.6	285.6	760.1	878.6	910.1	760.1	288.5	167.3	174.0	871.7	1097.0	947.0	1160.2	1039.0	934.1	1052.6000000000001	1015.8000000000001	1187.1000000000001	649879.7097	1054.000016	798.300012
69	650790.9	1034.4	1053.9	144.1	315.40000000000003	736.4000000000001	856.4000000000001	890.3000000000001	719.0	298.5	180.0	186.9	847.5	1096.7	925.4000000000001	1146.0	1027.5	923.3000000000001	1043.3	984.8000000000001	1175.9	650933.7097	1027.900015	779.200011
70	651825.3	1120.4	1101.4	137.3	328.40000000000003	798.6	921.6	983.1	792.0	317.5	197.5	206.4	914.0	1170.5	979.4000000000001	1231.5	1111.5	1005.0	1128.0	1051.8	1217.2	651961.6097	1120.800017	867.500013
71	652945.7000000001	1059.5	1047.6000000000001	137.8	303.2	746.9000000000001	870.4000000000001	921.7	756.3000000000001	302.8	179.8	187.4	872.1	1097.2	931.8000000000001	1174.9	1051.9	934.3000000000001	1057.8	999.6	1172.1000000000001	653082.4097	1049.300015	796.300012
72	654005.2000000001	1018.9000000000001	1005.5	127.5	300.0	719.6	839.4000000000001	891.4000000000001	718.9000000000001	300.7	177.20000000000002	175.5	843.4000000000001	1053.5	881.0	1144.1000000000001	1020.6	895.1	1014.9000000000001	966.1	1154.0	654131.7097	1014.100015	767.400012
